City_ID,City,Country,Max Temp,Current Description,Lat,Lng,Hotel Name
4,Devonport,AU,60.01,broken clouds,-41.1667,146.35,Gateway Hotel by Nightcap Plus
9,Bredasdorp,ZA,73.27,scattered clouds,-34.5322,20.0403,Bredasdorp Country Manor
12,Ahipara,NZ,70.86,overcast clouds,-35.1667,173.1667,Ahipara Holiday Park
13,Nouadhibou,MR,71.58,clear sky,20.931,-17.0347,El Medina
16,Port Alfred,ZA,70.27,overcast clouds,-33.5906,26.891,The Halyards Hotel
17,Punta Arenas,CL,62.71,broken clouds,-53.15,-70.9167,Hotel Hain
25,Nanning,CN,52.25,light rain,22.8167,108.3167,Nanning Travelling With Hostel
27,Ancud,CL,71.22,clear sky,-41.8697,-73.8203,Hotel Arena Gruesa
33,Hobart,AU,59.02,overcast clouds,-42.8794,147.3294,St Ives Hobart Accommodation Tasmania
34,Ushuaia,AR,64.02,scattered clouds,-54.8,-68.3,Albatross Hotel
38,Lompoc,US,66.13,clear sky,34.6391,-120.4579,"Holiday Inn Express Lompoc, an IHG Hotel"
39,Comodoro Rivadavia,AR,73.26,clear sky,-45.8667,-67.5,Austral Hotel
43,Kapaa,US,64.72,scattered clouds,22.0752,-159.319,Sheraton Kauai Coconut Beach Resort
45,Lebu,CL,64.42,clear sky,-37.6167,-73.65,Hostal Las Lilas
46,Medina,SA,64.83,clear sky,24.4686,39.6142,Anwar Al Madinah Mövenpick Hotel
53,Lima,PE,70.05,scattered clouds,-12.0432,-77.0282,Hotel Kamana
59,Poggiomarino,IT,55.99,overcast clouds,40.8031,14.539,Hotel la Fenice
60,Dingle,PH,74.86,scattered clouds,10.9995,122.6711,SEGAYA PROPERTY
66,Mims,US,64.4,overcast clouds,28.6653,-80.8448,Intercoastal Estates
68,Nambucca Heads,AU,62.6,overcast clouds,-30.65,153.0,Marcel Towers Holiday Apartments
69,Busselton,AU,67.05,clear sky,-33.65,115.3333,Observatory Guest House
71,Bengkulu,ID,74.48,heavy intensity rain,-3.8004,102.2655,Grage Hotel Bengkulu
73,Naze,JP,50.56,broken clouds,28.3667,129.4833,Shishime Hotel
77,Hilo,US,70.11,overcast clouds,19.7297,-155.09,Hilo Hawaiian Hotel
80,Ponta Do Sol,PT,73.13,clear sky,32.6667,-17.1,Hotel do Campo
83,Camacha,PT,66.52,few clouds,33.0833,-16.3333,Hotel Porto Santo & Spa
84,Bambanglipuro,ID,62.6,overcast clouds,-7.95,110.2833,Puri Brata
94,Wankaner,IN,67.57,clear sky,22.6167,70.9333,Royal Oasis
100,Esperance,AU,66.04,clear sky,-33.8667,121.9,Hospitality Esperance
117,Porto-Vecchio,FR,54.93,clear sky,41.591,9.2795,Hôtel Le Goéland - Casa Santini
119,North Myrtle Beach,US,50.11,clear sky,33.816,-78.68,Avista Resort
