City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Gambela,ET,8.25,34.5833,89.65,19,100,5.68,overcast clouds
1,Berlevag,NO,70.8578,29.0864,24.12,83,100,24.94,overcast clouds
2,Cape Town,ZA,-33.9258,18.4232,86.11,62,0,5.01,clear sky
3,Kamen-Na-Obi,RU,53.7884,81.3423,-2.45,98,92,4.07,overcast clouds
4,Devonport,AU,-41.1667,146.35,60.01,82,84,7.16,broken clouds
5,Tateyama,JP,34.9833,139.8667,33.82,49,89,5.61,overcast clouds
6,Qaanaaq,GL,77.484,-69.3632,0.0,74,89,4.36,overcast clouds
7,Sabang,ID,5.8933,95.3214,81.43,77,82,12.17,broken clouds
8,Yellowknife,CA,62.456,-114.3525,-13.59,83,75,6.91,broken clouds
9,Bredasdorp,ZA,-34.5322,20.0403,73.27,68,42,24.16,scattered clouds
10,Albany,US,42.6001,-73.9662,19.85,67,27,5.01,scattered clouds
11,Vanavara,RU,60.34,102.2797,15.37,95,100,6.04,light snow
12,Ahipara,NZ,-35.1667,173.1667,70.86,98,98,6.29,overcast clouds
13,Nouadhibou,MR,20.931,-17.0347,71.58,68,0,16.11,clear sky
14,Namibe,AO,-15.1961,12.1522,76.08,63,30,13.06,scattered clouds
15,Mataura,NZ,-46.1927,168.8643,40.12,98,15,2.1,few clouds
16,Port Alfred,ZA,-33.5906,26.891,70.27,83,98,24.61,overcast clouds
17,Punta Arenas,CL,-53.15,-70.9167,62.71,59,75,34.52,broken clouds
18,Atuona,PF,-9.8,-139.0333,78.69,74,13,21.97,few clouds
19,Hasaki,JP,35.7333,140.8333,27.0,35,65,8.7,broken clouds
20,La Tuque,CA,47.4334,-72.7824,1.65,46,44,8.05,scattered clouds
21,Wawa,NG,9.9022,4.4192,89.2,15,5,6.31,clear sky
22,Barrow,US,71.2906,-156.7887,-11.18,64,100,12.66,light snow
23,Kahului,US,20.8947,-156.47,75.85,77,20,0.0,few clouds
24,Loksa,EE,59.5764,25.7214,32.94,89,100,13.06,overcast clouds
25,Nanning,CN,22.8167,108.3167,52.25,66,100,3.09,light rain
26,Hithadhoo,MV,-0.6,73.0833,82.67,75,100,12.01,overcast clouds
27,Ancud,CL,-41.8697,-73.8203,71.22,58,3,6.93,clear sky
28,Smirnykh,RU,49.75,142.8333,6.64,84,100,9.6,overcast clouds
29,Zhezkazgan,KZ,47.8043,67.7144,14.83,79,93,15.97,overcast clouds
30,Airai,TL,-8.9266,125.4092,60.57,92,82,2.06,broken clouds
31,Dikson,RU,73.5069,80.5464,-18.92,100,96,3.51,overcast clouds
32,Vaini,TO,-21.2,-175.2,75.36,100,100,13.8,light rain
33,Hobart,AU,-42.8794,147.3294,59.02,76,100,4.61,overcast clouds
34,Ushuaia,AR,-54.8,-68.3,64.02,39,40,12.66,scattered clouds
35,Broome,US,42.2506,-75.833,18.77,72,40,3.0,scattered clouds
36,Mujiayingzi,CN,42.1167,118.7833,8.17,69,0,7.27,clear sky
37,State College,US,40.7934,-77.86,21.81,73,75,1.01,broken clouds
38,Lompoc,US,34.6391,-120.4579,66.13,49,0,6.91,clear sky
39,Comodoro Rivadavia,AR,-45.8667,-67.5,73.26,43,0,16.11,clear sky
40,Edeia,BR,-17.3383,-49.9314,88.2,50,51,5.53,broken clouds
41,Saint-Ambroise,CA,48.5501,-71.3324,0.09,85,86,8.21,overcast clouds
42,Teya,RU,60.3778,92.6267,18.34,90,100,8.9,overcast clouds
43,Kapaa,US,22.0752,-159.319,64.72,78,40,5.75,scattered clouds
44,Suleja,NG,9.1758,7.1808,90.59,11,3,5.46,clear sky
45,Lebu,CL,-37.6167,-73.65,64.42,65,0,19.15,clear sky
46,Medina,SA,24.4686,39.6142,64.83,20,0,5.75,clear sky
47,Tasiilaq,GL,65.6145,-37.6368,26.76,59,100,10.0,overcast clouds
48,Vestmannaeyjar,IS,63.4427,-20.2734,31.19,40,0,6.91,clear sky
49,Acarau,BR,-2.8856,-40.12,84.58,67,91,15.9,overcast clouds
50,Straumen,NO,63.8709,11.2999,35.94,85,97,10.58,overcast clouds
51,Upernavik,GL,72.7868,-56.1549,0.43,98,100,4.56,overcast clouds
52,Arraial Do Cabo,BR,-22.9661,-42.0278,89.56,66,0,21.85,thunderstorm
53,Lima,PE,-12.0432,-77.0282,70.05,73,40,9.22,scattered clouds
54,Umm Kaddadah,SD,13.6017,26.6876,64.96,15,70,14.03,broken clouds
55,Dekalb,US,33.7504,-84.2333,44.33,43,0,10.36,clear sky
56,Kaitangata,NZ,-46.2817,169.8464,44.42,93,33,5.46,scattered clouds
57,Odienne,CI,9.51,-7.5692,95.81,7,74,3.09,broken clouds
58,Havoysund,NO,70.9963,24.6622,29.28,70,79,30.8,broken clouds
59,Poggiomarino,IT,40.8031,14.539,55.99,83,100,1.36,overcast clouds
60,Dingle,PH,10.9995,122.6711,74.86,82,37,11.36,scattered clouds
61,Nanortalik,GL,60.1432,-45.2371,14.05,58,17,24.65,few clouds
62,Kununurra,AU,-15.7667,128.7333,78.78,94,100,0.0,overcast clouds
63,Cidreira,BR,-30.1811,-50.2056,86.92,58,91,9.22,moderate rain
64,Nikolskoye,RU,59.7035,30.7861,24.87,94,100,11.3,snow
65,Merrill,US,45.1805,-89.6835,8.02,78,100,5.75,overcast clouds
66,Mims,US,28.6653,-80.8448,64.4,80,100,7.0,overcast clouds
67,Georgetown,MY,5.4112,100.3354,80.89,84,20,0.0,few clouds
68,Nambucca Heads,AU,-30.65,153.0,62.6,79,89,13.11,overcast clouds
69,Busselton,AU,-33.65,115.3333,67.05,70,0,2.57,clear sky
70,Avarua,CK,-21.2078,-159.775,78.85,83,40,6.91,scattered clouds
71,Bengkulu,ID,-3.8004,102.2655,74.48,96,100,7.92,heavy intensity rain
72,Khorinsk,RU,52.1657,109.7726,2.68,96,100,2.17,overcast clouds
73,Naze,JP,28.3667,129.4833,50.56,66,78,17.45,broken clouds
74,Puerto Escondido,MX,15.85,-97.0667,83.23,69,0,4.61,clear sky
75,Cherskiy,RU,68.75,161.3,-32.82,96,15,1.39,few clouds
76,Asau,RO,46.4333,26.4,37.76,95,56,3.15,broken clouds
77,Hilo,US,19.7297,-155.09,70.11,87,100,4.61,overcast clouds
78,Jamestown,US,42.097,-79.2353,19.53,48,75,5.99,broken clouds
79,Rikitea,PF,-23.1203,-134.9692,78.62,73,53,12.82,broken clouds
80,Ponta Do Sol,PT,32.6667,-17.1,73.13,49,2,12.48,clear sky
81,Butaritari,KI,3.0707,172.7902,82.38,69,14,18.14,few clouds
82,Hermanus,ZA,-34.4187,19.2345,85.89,64,62,20.15,broken clouds
83,Camacha,PT,33.0833,-16.3333,66.52,77,20,20.71,few clouds
84,Bambanglipuro,ID,-7.95,110.2833,62.6,86,93,6.26,overcast clouds
85,Cayenne,GF,4.9333,-52.3333,86.04,81,75,5.99,broken clouds
86,Chifeng,CN,42.2683,118.9636,7.05,75,0,4.65,clear sky
87,Lavrentiya,RU,65.5833,-171.0,-18.72,94,29,8.79,scattered clouds
88,Bambous Virieux,MU,-20.3428,57.7575,80.22,89,75,14.97,light intensity shower rain
89,Srednekolymsk,RU,67.45,153.6833,-39.89,100,47,3.94,scattered clouds
90,Matehuala,MX,23.65,-100.65,45.97,64,75,10.33,broken clouds
91,Portland,US,45.5234,-122.6762,46.56,94,75,1.01,broken clouds
92,Narsaq,GL,60.9167,-46.05,7.02,69,0,5.86,clear sky
93,Iqaluit,CA,63.7506,-68.5145,-24.07,62,75,0.0,broken clouds
94,Wankaner,IN,22.6167,70.9333,67.57,63,0,8.28,clear sky
95,Great Yarmouth,GB,52.6083,1.7305,49.41,77,100,26.93,overcast clouds
96,Hals,DK,56.9961,10.3081,40.96,90,100,21.12,light rain
97,Klaksvik,FO,62.2266,-6.589,36.52,92,97,43.96,overcast clouds
98,Margate,GB,51.3813,1.3862,49.03,74,89,10.0,overcast clouds
99,Kondol,RU,52.8189,45.058,14.02,97,96,6.33,overcast clouds
