City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Tuatapere,NZ,2022-01-26 19:03:16,-46.1333,167.6833,51.82,86,92,9.37
1,Yellowknife,CA,2022-01-26 19:00:53,62.456,-114.3525,5.41,89,75,5.75
2,Alofi,NU,2022-01-26 19:03:16,-19.0595,-169.9187,81.68,76,6,15.19
3,Manado,ID,2022-01-26 19:03:17,1.487,124.8455,75.97,94,20,1.14
4,Oranjemund,NA,2022-01-26 19:03:17,-28.55,16.4333,64.62,91,38,15.64
5,Bambanglipuro,ID,2022-01-26 19:03:18,-7.95,110.2833,76.91,90,100,6.78
6,Danville,US,2022-01-26 19:03:03,36.586,-79.395,43.52,38,0,6.91
7,Faanui,PF,2022-01-26 19:03:18,-16.4833,-151.75,80.92,76,100,16.91
8,Biltine,TD,2022-01-26 19:03:18,14.5333,20.9167,72.1,17,0,20.07
9,Punta Arenas,CL,2022-01-26 19:03:19,-53.15,-70.9167,57.22,62,0,21.85
10,Broome,US,2022-01-26 19:03:19,42.2506,-75.833,22.21,54,100,4.0
11,Nishihara,JP,2022-01-26 19:03:20,26.1842,127.7558,65.48,73,0,3.44
12,Asyut,EG,2022-01-26 19:03:20,27.181,31.1837,47.14,53,4,10.98
13,Guerrero Negro,MX,2022-01-26 19:03:21,27.9769,-114.0611,65.95,40,99,2.15
14,Petropavlovsk-Kamchatskiy,RU,2022-01-26 19:03:11,53.0452,158.6483,3.79,56,0,6.71
15,Cidreira,BR,2022-01-26 19:03:22,-30.1811,-50.2056,82.29,73,63,13.58
16,Grand Gaube,MU,2022-01-26 19:03:22,-20.0064,57.6608,75.6,67,1,4.0
17,Hobart,AU,2022-01-26 19:03:22,-42.8794,147.3294,62.06,79,100,3.0
18,Bredasdorp,ZA,2022-01-26 19:03:23,-34.5322,20.0403,66.27,83,100,10.87
19,Ahipara,NZ,2022-01-26 19:03:23,-35.1667,173.1667,66.92,89,94,13.67
20,Cuamba,MZ,2022-01-26 19:02:13,-14.8031,36.5372,70.2,96,100,4.21
21,Dikson,RU,2022-01-26 19:03:24,73.5069,80.5464,13.71,92,100,28.14
22,Bluff,NZ,2022-01-26 19:03:24,-46.6,168.3333,51.8,68,72,16.62
23,Coihaique,CL,2022-01-26 19:03:25,-45.5752,-72.0662,79.41,29,0,10.36
24,Los Llanos De Aridane,ES,2022-01-26 19:03:25,28.6585,-17.9182,60.55,72,20,8.01
25,Saint-Augustin,CA,2022-01-26 19:03:26,51.226,-58.6502,12.83,79,52,12.86
26,Tasiilaq,GL,2022-01-26 19:03:11,65.6145,-37.6368,15.96,67,100,2.08
27,Khatanga,RU,2022-01-26 19:03:26,71.9667,102.5,-5.82,86,99,10.38
28,Talgar,KZ,2022-01-26 19:03:27,43.3027,77.2395,17.76,93,75,2.24
29,Port Elizabeth,ZA,2022-01-26 19:03:27,-33.918,25.5701,70.11,85,100,7.61
30,Mabaruma,GY,2022-01-26 19:03:28,8.2,-59.7833,82.31,55,81,6.26
31,Hobyo,SO,2022-01-26 19:03:28,5.3505,48.5268,77.27,66,74,20.11
32,Albany,US,2022-01-26 18:58:53,42.6001,-73.9662,22.08,44,4,3.0
33,Nanortalik,GL,2022-01-26 19:03:29,60.1432,-45.2371,18.0,88,100,5.77
34,Osinki,RU,2022-01-26 19:03:29,52.8432,49.5132,10.36,96,100,6.89
35,Vao,NC,2022-01-26 19:03:29,-22.6667,167.4833,77.34,80,100,12.33
36,Tabou,CI,2022-01-26 19:03:30,4.423,-7.3528,80.35,77,87,8.46
37,Jamestown,US,2022-01-26 18:59:18,42.097,-79.2353,20.52,59,100,7.0
38,Cherskiy,RU,2022-01-26 19:03:30,68.75,161.3,-44.57,99,46,3.71
39,Sabancuy,MX,2022-01-26 19:03:31,18.9667,-91.1833,79.47,71,24,10.78
